GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS781001947	2022-08-04 06:59:16.259613	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				X					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					San Antonio de Los Cobres - Salta	L9567308	P	-24.2184957	-66.3936316	2001-10-07		obsr1365043	S57850633	Historical	P62	EBIRD				1	1		0	1	1			Dark brown head with white crown stripe. Dark brown back and striped belly.	
URN:CornellLabOfOrnithology:EBIRD:OBS870757350	2020-03-02 12:03:59	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				X					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					San Antonio De Los Cobres	L9858475	H	-24.2312142	-66.3226383	2014-11-03		obsr610760	S65135671	Historical	P62	EBIRD					0		1	1	1		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: San Antonio de los Cobres (-24.2138, -66.3207).		
URN:CornellLabOfOrnithology:EBIRD:OBS913129829	2020-05-26 18:33:28	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				7					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Carro Grande	L11344434	P	-24.9890242	-66.9404398	2020-05-02	12:30:00	obsr1169563	S68474011	Traveling	P22	EBIRD	150	4.000		1	1	G5283738	0	1	1			un grupo de 5 individuos (3 adultos y 2 subadultos) y por separado 500 m más adelante una pareja de adultos. Todos en vega mixta (con bofedal y piedra suelta) con hielo superficial y agua corriendo	
URN:CornellLabOfOrnithology:EBIRD:OBS913124194	2020-05-08 10:40:03	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Bequeville	L11344380	P	-25.0932941	-66.9988047	2020-05-02	10:00:00	obsr521859	S68473639	Traveling	P22	EBIRD	120	2.500		1	1	G5279764	0	1	1			dos individuos subadultos por separado en distintos brazos de la vega, en zonas de hielo	
URN:CornellLabOfOrnithology:EBIRD:OBS913836596	2020-05-26 18:33:28	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				7					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Carro Grande	L11344434	P	-24.9890242	-66.9404398	2020-05-02	12:30:00	obsr521859	S68520328	Traveling	P22	EBIRD	150	4.000		1	1	G5283738	0	1	1			un grupo de 5 individuos (3 adultos y 2 subadultos) y por separado 500 m más adelante una pareja de adultos. Todos en vega mixta (con bofedal y piedra suelta) con hielo superficial y agua corriendo	
URN:CornellLabOfOrnithology:EBIRD:OBS913123775	2020-05-08 10:40:03	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Bequeville	L11344380	P	-25.0932941	-66.9988047	2020-05-02	10:00:00	obsr1169563	S68473608	Traveling	P22	EBIRD	120	2.500		1	1	G5279764	0	1	1			dos individuos subadultos por separado en distintos brazos de la vega, en zonas de hielo	
URN:CornellLabOfOrnithology:EBIRD:OBS1017782633	2021-01-08 19:10:18.724654	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Carro Grande	L11344434	P	-24.9890242	-66.9404398	2020-10-24	11:00:00	obsr1169563	S76691700	Traveling	P22	EBIRD	210	2.800		1	1		0	1	1			dos individuos expuestos en vegas altas, separados, como marcando territorios, vocalizando espaciadamente, y otros dos individuos asociados a cada uno de ellos, más pasivos y sigilosos	
URN:CornellLabOfOrnithology:EBIRD:OBS1017792351	2021-01-08 19:10:18.715571	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Bequeville	L11344380	P	-25.0932941	-66.9988047	2020-10-24	15:15:00	obsr1169563	S76691846	Traveling	P22	EBIRD	90	2.000		1	1		0	1	1			un individuo exhibiéndose y otro menos activos, ambos con plumaje colorido	
URN:CornellLabOfOrnithology:EBIRD:OBS999130045	2021-01-16 08:28:02.523526	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega cercana al Salar Centenario	L12543778	P	-24.9611876	-66.8435853	2020-10-17	10:45:00	obsr521859	S75087873	Traveling	P22	EBIRD_ARG	90	2.000		1	1		0	1	1		Lista de Cristian Domínguez	Muy bien observado. Inconfundible. Cabeza oscura con vincha blanca, pecho y vientre claro barrado, nuca rufa, patas anaranjadas	
URN:CornellLabOfOrnithology:EBIRD:OBS1568353460	2022-12-02 17:29:26.370957	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Catua	L21622263	P	-23.8830970	-67.0021091	2022-11-18	17:35:00	obsr1169563	S122923353	Traveling	P22	EBIRD	55	0.800		1	1		1	1	1			uno	
URN:CornellLabOfOrnithology:EBIRD:OBS1715320678	2023-05-14 21:00:00.802153	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Boca Vega Catua	L24151978	P	-23.8795287	-67.0047591	2023-03-30	13:30:00	obsr1169563	S136666285	Traveling	P22	EBIRD	40	0.850		1	1		0	1	1			uno	
URN:CornellLabOfOrnithology:EBIRD:OBS1766081059	2023-06-22 17:58:10.543868	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Argentina	AR	Salta	AR-A	Los Andes	AR-A-LA					Vega Carro Grande, brazo sur arriba	L25395014	P	-24.9976905	-66.9242392	2023-06-17	16:50:00	obsr1169563	S142373367	Traveling	P22	EBIRD	15	0.300		1	1		1	1	1			1	
URN:CornellLabOfOrnithology:EBIRD:OBS578671746	2021-09-03 22:01:07.254811	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	La Poma	AR-A-LP					Paso del Acay	L4125255	H	-24.4561528	-66.2070894	2014-11-03	09:00:00	obsr610760	S42886935	Traveling	P22	EBIRD	540	30.000		4	0		1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS548373082	2018-09-27 18:46:27	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Argentina	AR	Salta	AR-A	La Poma	AR-A-LP					Vega cercana a la cima del Abra de Acay	L6459597	P	-24.4357022	-66.2466788	2017-11-03	12:00:00	obsr820430	S40424878	Traveling	P22	EBIRD	20	0.300		3	1		0	1	1			in a bog area next to the road.	
URN:CornellLabOfOrnithology:EBIRD:OBS822893016	2021-08-25 11:24:53.382047	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	La Poma	AR-A-LP					Paso del Acay	L4125255	H	-24.4561528	-66.2070894	2019-10-31	11:30:00	obsr924388	S61077488	Traveling	P22	EBIRD_ARG	40	1.440		4	1	G4629947	1	1	1			Hay fotografías.	
URN:CornellLabOfOrnithology:EBIRD:OBS823239849	2021-08-25 11:24:53.382047	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	La Poma	AR-A-LP					Paso del Acay	L4125255	H	-24.4561528	-66.2070894	2019-10-31	11:30:00	obsr968089	S61103370	Traveling	P22	EBIRD_ARG	40	1.440		4	1	G4629947	1	1	1			Hay fotografías.	
URN:CornellLabOfOrnithology:EBIRD:OBS822892020	2021-08-25 11:24:53.382047	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	La Poma	AR-A-LP					Paso del Acay	L4125255	H	-24.4561528	-66.2070894	2019-10-31	11:30:00	obsr786429	S61077411	Traveling	P22	EBIRD_ARG	40	1.440		4	1	G4629947	1	1	1			Hay fotografías.	
URN:CornellLabOfOrnithology:EBIRD:OBS999088668	2020-10-19 15:00:19	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Rosario de Lerma	AR-A-RL					Nevado de Acay (Salta)	L2761551	H	-24.4183333	-66.1563333	2020-10-17	09:11:00	obsr1788638	S75084654	Traveling	P22	EBIRD	109	1.300		3	1	G5819289	1	1	1			Caminando la Vega espantamos dos individuos	
URN:CornellLabOfOrnithology:EBIRD:OBS998287701	2020-10-19 15:00:19	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Rosario de Lerma	AR-A-RL					Nevado de Acay (Salta)	L2761551	H	-24.4183333	-66.1563333	2020-10-17	09:11:00	obsr924388	S75023931	Traveling	P22	EBIRD	109	1.300		3	1	G5819289	1	1	1			Caminando la Vega espantamos dos individuos	
URN:CornellLabOfOrnithology:EBIRD:OBS1000094862	2020-10-21 07:34:10	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Rosario de Lerma	AR-A-RL					Nevado de Acay (Salta)	L2761551	H	-24.4183333	-66.1563333	2020-10-17	09:11:00	obsr521859	S75168856	Traveling	P22	EBIRD	109	1.300		3	1	G5819289	1	1	1			Caminando la Vega espantamos dos individuos	
URN:CornellLabOfOrnithology:EBIRD:OBS999288407	2020-10-19 15:00:19	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Argentina	AR	Salta	AR-A	Rosario de Lerma	AR-A-RL					Nevado de Acay (Salta)	L2761551	H	-24.4183333	-66.1563333	2020-10-17	09:11:00	obsr815754	S75100557	Traveling	P22	EBIRD	109	1.300		3	1	G5819289	1	1	1			Caminando la Vega espantamos dos individuos	
